AAAIndicator Name,Unnamed: 0,Country Name,Country Code,AAAIndicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),362,Russian Federation,RUS,GDP per unit of energy use (constant 2011 PPP $ per kg of oil equivalent),EG.GDP.PUSE.KO.PP.KD,2.83033238117,2.79963893552,2.72695873624,2.89424089819,2.80624204732,2.88269352154,3.11833871459,3.24179075392,3.41146440569,3.5342960116,3.77580758165,3.98993821195,4.1932547924,4.53817490423,4.66608556744,4.57752852381,4.39863676094,4.36909877664
Fossil fuel energy consumption (% of total),368,Russian Federation,RUS,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS,92.5741455911,92.3012696501,92.3228834587,92.0715491374,92.1153453096,91.3093313292,91.1263672384,90.8858354384,90.7524893724,90.9155491576,90.690253079,90.6883564009,90.6212479329,90.5497630727,90.9477179041,90.1612643893,90.7336471078,91.1130974851
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",369,Russian Federation,RUS,"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2011 PPP)",EG.USE.COMM.GD.PP.KD,353.315393857,357.188917226,366.708885877,345.51374097,356.348448615,346.897785883,320.683572738,308.471482557,293.129249226,282.941778707,264.844004461,250.630447611,238.478234571,220.352899812,214.312400736,218.458496719,227.343164337,228.880153808
Electric power consumption (kWh per capita),371,Russian Federation,RUS,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,5190.72915543,5101.55549298,5016.44701208,4935.62170682,4848.03037288,4998.8387005,5198.41676773,5274.37772118,5304.43172337,5478.14413,5633.85574609,5770.11233595,6098.5381231,6286.05053624,6399.68446645,6095.38057485,6409.89521773,6485.76084471
Energy use (kg of oil equivalent per capita),372,Russian Federation,RUS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,4428.88942671,4290.77161179,4252.72847857,4069.74758197,3981.49166254,4136.73913078,4224.27812544,4288.47090657,4288.17410667,4461.3239135,4493.68566945,4540.9582915,4688.3957492,4709.85096834,4823.25468931,4530.68204298,4925.08097109,5165.78256226
CO2 intensity (kg per kg of oil equivalent energy use),373,Russian Federation,RUS,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,2.58938536824,2.56706446098,2.56442597383,2.53970975845,2.54842159957,2.51888314345,2.51606808145,2.4887646228,2.49986657949,2.48707944624,2.47602004866,2.47914486571,2.48946745043,2.47936468736,2.4919129131,2.43365483024,2.47679936591,2.4482889243
CO2 emissions from gaseous fuel consumption (kt),374,Russian Federation,RUS,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,750484.553,725196.921,729054.605,713587.199,712208.407,720451.823,730631.415,745061.06,745860.466,784668.327,793967.839,800858.132,821558.347,838408.212,838892.256,802519.283,878440.851,896262.471
CO2 emissions from gaseous fuel consumption (% of total),375,Russian Federation,RUS,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,44.1167657894,44.3732176153,45.1202131474,46.6747897084,47.5330517227,46.9665349484,46.8920995714,47.8215740778,47.8833649577,48.8899398875,49.5314894883,49.5676370057,49.2063631512,50.2764107503,48.8967830051,50.9740668105,50.4115152727,49.570037277
CO2 emissions (kg per 2005 US$ of GDP),376,Russian Federation,RUS,CO2 emissions (kg per 2005 US$ of GDP),EN.ATM.CO2E.KD.GD,3.11371203552,3.12071382793,3.20059554546,2.98654186688,3.09076044492,2.97391631737,2.74611232668,2.61287143675,2.49399272335,2.39500229331,2.2318422694,2.11473002032,2.02057230529,1.85942376524,1.81760436804,1.80945221325,1.91642542592,1.90717260733
CO2 emissions from liquid fuel consumption (% of total),379,Russian Federation,RUS,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,23.6443825541,23.1946167775,21.963579751,21.9492421826,22.0500633869,21.1081548204,21.403574009,21.4702815678,20.7875643277,20.5207469401,20.3943906847,20.5271424097,20.7441539702,20.353682618,21.5716700972,22.7957720563,20.7085512263,22.2252193418
CO2 emissions (kg per 2011 PPP $ of GDP),382,Russian Federation,RUS,CO2 emissions (kg per 2011 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,0.914869711227,0.916926975267,0.940397791778,0.877504619617,0.908126083421,0.873794985359,0.806861701612,0.76771291293,0.732784013612,0.703698682305,0.655759064814,0.621349187384,0.593683802601,0.546335198551,0.534047838832,0.531652575747,0.563083405274,0.560364745559
