,Unnamed: 0,Country Name,Country Code,AAAIndicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
14,17,"Egypt, Arab Rep.",EGY,Adjusted savings: energy depletion (% of GNI),NY.ADJ.DNGY.GN.ZS,7.20695373194,6.77965234807,7.10146287692,5.60225695126,3.08408000662,3.97002018585,5.74880279254,5.0231257199,5.48873999703,7.83220568362,10.1218949724,14.2170168057,14.925489262,13.1255630596,15.8121480872,7.385934518,7.60743509556,8.92444102847
15,18,"Egypt, Arab Rep.",EGY,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,3731471189.52,4088133384.66,4840947781.33,4448409153.2,2653607427.68,3641108142.08,5793068574.04,4958001306.83,4827160970.09,6486365028.92,7958938659.88,12714577633.1,16121767226.3,17280591301.8,25960068486.5,13969461110.0,16319926213.1,20521930633.8
16,19,"Egypt, Arab Rep.",EGY,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,23.33096673,21.883378,18.7530072,18.09539928,19.10727117,19.22596999,17.88252638,18.35871703,18.24157629,18.53395853,21.15570821,21.89860524,22.86090465,23.34265553,23.42785406,16.82984111,18.31797002,17.31217585
17,20,"Egypt, Arab Rep.",EGY,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.00859725352471,0.00758740093289,0.00888186074221,0.009708228985,0.0217423947656,0.0142971681136,0.0103482587647,0.0166451603571,0.0159009578321,0.0241441860203,0.0263286143904,0.0371809151331,0.0335409452372,0.0533764364046,0.698987508647,0.1787940239,0.117573515271,0.203555230901
18,21,"Egypt, Arab Rep.",EGY,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,4451312.5836,4575206.14098,6054615.05597,7708710.08844,18707614.6279,13112662.6037,10427940.3571,16429357.2179,13984353.9821,19995389.5722,20702430.4741,33251675.6779,36229251.9979,70273281.1128,1147583711.95,338163865.043,252225759.371,468079324.561
19,22,"Egypt, Arab Rep.",EGY,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,7.77832753237,7.2811778964,7.56921216343,6.01113115688,3.59324495183,4.37116747867,6.06716410845,5.36259235991,5.89785464642,8.56413728544,10.8749329642,14.881386231,15.4927822266,13.471854306,17.0124207683,7.9940159833,8.14823041998,9.66005752893
20,23,"Egypt, Arab Rep.",EGY,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS,0.562776546899,0.493938147399,0.458867425758,0.399165976629,0.487422550444,0.386850124702,0.30801305715,0.32282147966,0.393213691562,0.707787415793,0.726709377347,0.627188510161,0.533752019374,0.292914809981,0.501285172515,0.429287441402,0.423221809154,0.532061269559
21,24,"Egypt, Arab Rep.",EGY,Adjusted savings: net forest depletion (current US$),NY.ADJ.DFOR.CD,291383093.19,297844922.817,312802205.003,316953256.434,419388633.726,354799994.175,310384757.69,318636125.647,345818126.899,586165344.368,571418234.79,560907897.347,576532243.727,385639922.228,822999970.532,811937095.17,907920818.305,1223485530.58
22,25,"Egypt, Arab Rep.",EGY,Adjusted savings: net national savings (% of GNI),NY.ADJ.NNAT.GN.ZS,17.2429327119,15.7898159293,12.3895095595,11.9884204465,13.0582844785,12.4310532915,11.7381779984,13.4027086539,13.0361495261,13.3443291147,15.4904099889,16.1259429605,17.2061081486,17.2840649487,17.1961841152,10.1764794932,11.8309545305,11.2431148579
23,26,"Egypt, Arab Rep.",EGY,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,8927698030.33,9521266036.09,8445720248.52,9519270485.17,11235623139.0,11401153454.0,11828561969.0,13228943635.2,11464852083.8,11051317240.6,12180251154.0,14421770507.9,18585177716.7,22755508548.9,28232351156.6,19247386254.3,25380473516.0,25853767478.1
