AAAIndicator Name,Unnamed: 0,Unnamed: 0.1,Country Name,Country Code,AAAIndicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
CO2 emissions (kg per PPP $ of GDP),76,89,"Egypt, Arab Rep.",EGY,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.311845941834,0.327545183843,0.326575980115,0.322777679159,0.346751965069,0.33016767761,0.345305265077,0.28945634401,0.282345218714,0.31206333044,0.297586312287,0.305769334219,0.296596512478,0.292029277729,0.272069166058,0.259601979053,0.252071915526,0.261648447973
"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",79,92,"Egypt, Arab Rep.",EGY,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,33.8062064598,32.3588829471,31.4940194087,31.903963095,34.2948080366,34.65337132,33.4406713505,34.8494270232,35.2921253175,38.3251231527,44.1364285178,42.0919555526,41.6067146283,39.465648855,41.748118189,42.9880390651,42.0560747664,42.4971122545
CO2 emissions from liquid fuel consumption (% of total),82,95,"Egypt, Arab Rep.",EGY,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,62.6090694176,61.0366227398,60.3184301323,65.0998068255,67.6205903528,63.4829653458,60.4203425013,52.9975738797,44.9547367814,49.5762081784,50.1603732322,47.4121672003,46.8927713564,46.057847321,46.0674157303,45.4900581331,43.571735703,44.4045839562
CO2 emissions from liquid fuel consumption (kt),83,96,"Egypt, Arab Rep.",EGY,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,53413.522,58426.311,61543.261,70439.403,82661.514,79603.236,85389.762,66486.377,57179.531,73354.668,75697.881,79276.873,83757.947,89049.428,90659.241,90101.857,89181.44,98040.912
CO2 intensity (kg per kg of oil equivalent energy use),90,103,"Egypt, Arab Rep.",EGY,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,2.57470554661,2.71885109236,2.72917440091,2.7802944134,2.93229844512,2.94262205599,3.47377876281,2.74733103606,2.70025700233,3.02604565733,2.85567705675,2.71635869233,2.74643623197,2.77601800209,2.72059025853,2.67657958013,2.8105858885,2.89203981716
"Death rate, crude (per 1,000 people)",109,131,"Egypt, Arab Rep.",EGY,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,7.621,7.441,7.28,7.144,7.038,6.961,6.909,6.879,6.863,6.854,6.844,6.83,6.808,6.777,6.74,6.695,6.645,6.592
DEC alternative conversion factor (LCU per US$),120,142,"Egypt, Arab Rep.",EGY,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,3.37199998,3.39100003,3.39199996,3.3900001,3.38800001,3.39100003,3.4065001,3.67400002,4.3130002,5.03474998,6.1551,6.0043,5.7469,5.7082,5.5,5.5148,5.5124,5.8097
Domestic credit provided by financial sector (% of GDP),129,151,"Egypt, Arab Rep.",EGY,Domestic credit provided by financial sector (% of GDP),FS.AST.DOMS.GD.ZS,75.1895592864,75.2823265536,76.1370595795,76.1472872785,83.7399667412,88.3351179635,89.0123019029,94.6306941734,101.559038493,104.588119836,104.73701108,98.0213384901,92.966836147,84.1463983838,77.6984785969,75.1145461069,69.4220342404,74.6102600158
Electric power consumption (kWh per capita),133,155,"Egypt, Arab Rep.",EGY,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,724.839829949,744.139536766,803.514342157,843.940487533,889.042253869,947.508180882,984.065171379,1036.94047459,1087.72250969,1155.81652468,1199.58854324,1271.75487374,1343.76874198,1436.07409837,1482.85326038,1550.4874709,1589.87591008,1700.74023095
Electric power transmission and distribution losses (% of output),134,156,"Egypt, Arab Rep.",EGY,Electric power transmission and distribution losses (% of output),EG.ELC.LOSS.ZS,9.92008761967,10.6538461538,7.32680449764,6.46778941603,6.92119556586,7.16110665012,13.7568304263,13.0940659446,12.648278955,11.3045396762,12.1570795368,11.5962830067,10.885821484,10.4843801197,9.94658119658,9.59712230216,10.1624022453,8.46727570741
