,AAAIndicator Name,Unnamed: 0,Country Name,Country Code,AAAIndicator Name.1,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
47,Gross national expenditure (% of GDP),678,Russian Federation,RUS,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,95.4369545641,96.6048302415,95.7764717601,97.7972251868,93.3297839976,82.953226074,79.9728975033,87.3238964175,89.209011038,88.6283054563,87.7460702877,86.3071165605,87.2724509794,91.3780017763,90.7633453738,92.5588586195,91.9243839173,91.4655410384
54,"Industry, value added (% of GDP)",730,Russian Federation,RUS,"Industry, value added (% of GDP)",NV.IND.TOTL.ZS,44.7226862778,36.9560332559,38.7095014727,38.0555425467,37.3535319719,37.2318115825,37.9456082323,35.7004939943,32.765671172,32.5701753676,36.3287068733,38.077696312,37.2295285851,36.4428466067,36.1196137398,33.6403310644,34.6961657515,37.4262770191
57,"Services, etc., value added (% of GDP)",741,Russian Federation,RUS,"Services, etc., value added (% of GDP)",NV.SRV.TETC.ZS,48.6478331681,55.8834544229,54.1180320716,55.5050812532,57.0304653498,55.4536445971,55.6198701458,57.7108252464,60.9355698759,61.1745957372,58.0511182536,56.9557302534,58.2470710289,59.1463611554,59.4769122325,61.6744814953,61.4363165504,58.2045410054
76,Primary school starting age (years),868,Russian Federation,RUS,Primary school starting age (years),SE.PRM.AGES,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
77,"Primary education, duration (years)",872,Russian Federation,RUS,"Primary education, duration (years)",SE.PRM.DURS,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
79,"Secondary education, duration (years)",913,Russian Federation,RUS,"Secondary education, duration (years)",SE.SEC.DURS,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
80,Prevalence of anemia among children (% of children under 5),965,Russian Federation,RUS,Prevalence of anemia among children (% of children under 5),SH.ANM.CHLD.ZS,29.2,28.2,27.4,26.8,26.3,26.0,25.9,25.8,25.9,26.0,26.1,26.1,26.0,25.8,25.6,25.5,25.6,25.9
82,Number of infant deaths,970,Russian Federation,RUS,Number of infant deaths,SH.DTH.IMRT,26889.0,23657.0,22889.0,24009.0,26222.0,28277.0,29181.0,28899.0,27623.0,25916.0,23953.0,22413.0,20739.0,19388.0,18262.0,17421.0,16884.0,16712.0
83,Number of under-five deaths,972,Russian Federation,RUS,Number of under-five deaths,SH.DTH.MORT,35043.0,31203.0,29083.0,29641.0,31466.0,33124.0,33636.0,33123.0,31642.0,29534.0,27451.0,25573.0,23893.0,22343.0,21141.0,20221.0,19607.0,19314.0
87,"Improved water source, rural (% of rural population with access)",981,Russian Federation,RUS,"Improved water source, rural (% of rural population with access)",SH.H2O.SAFE.RU.ZS,83.2,83.6,84.0,84.4,84.8,85.2,85.6,86.0,86.4,86.8,87.2,87.6,88.0,88.4,88.8,89.2,89.6,90.0
88,"Improved water source, urban (% of urban population with access)",982,Russian Federation,RUS,"Improved water source, urban (% of urban population with access)",SH.H2O.SAFE.UR.ZS,97.9,98.0,98.0,98.1,98.1,98.2,98.2,98.3,98.3,98.4,98.4,98.5,98.5,98.6,98.6,98.7,98.7,98.8
91,"Immunization, measles (% of children ages 12-23 months)",989,Russian Federation,RUS,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,81.0,85.0,88.0,91.0,94.0,97.0,97.0,98.0,98.0,98.0,98.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0
93,Improved sanitation facilities (% of population with access),1002,Russian Federation,RUS,Improved sanitation facilities (% of population with access),SH.STA.ACSN,72.6,72.6,72.6,72.5,72.5,72.5,72.5,72.4,72.4,72.4,72.4,72.4,72.3,72.3,72.3,72.3,72.3,72.3
