Country Name,Country Code,Indicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Russian Federation,RUS,"Agricultural machinery, tractors",AG.AGR.TRAC.NO,1147500,1052105,966128,886490,856708,786783,747000,698000,646363,586024,531973,480333,439600,405661,364356,329980,,,,,,
Russian Federation,RUS,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,,,,,,,,,12.3387950741096,9.5963851134989,8.82947208507406,8.63987486463723,9.36276687646551,10.0237750911089,11.9274029261065,17.7418912507763,11.3705776265561,11.4457398889406,11.8321469654647,11.2677410522928,,
Russian Federation,RUS,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,,,,,,,,,13.5525371562791,11.0035166736021,11.4197763332405,11.7926441727363,12.4807113363055,14.2531297810387,15.8827446177116,15.6220944558522,16.0745378151261,16.4096666666667,15.6783298538622,15.2243128272251,,
Russian Federation,RUS,Agricultural land (sq. km),AG.LND.AGRI.K2,2177110,2164000,2161110,2179890,2172870,2167900,2171620,2168610,2166510,2162770,2159800,2156800,2154880,2154630,2154940,2154500,2139520,2146500,2143500,2168400,,
Russian Federation,RUS,Agricultural land (% of land area),AG.LND.AGRI.ZS,13.2901907232197,13.2125399459531,13.1952331059546,13.3093386817595,13.2643318906314,13.2281702241387,13.2566688683588,13.2390216624218,13.2257977869402,13.2029341345878,13.1846021330511,13.1661598924145,13.1573709193088,13.1558444571717,13.1584362579663,13.1557495418844,13.0642790716419,13.1069001585773,13.0885816398372,13.2406253453804,,
Russian Federation,RUS,Arable land (hectares),AG.LND.ARBL.HA,128422000,127500000,126024000,127466000,126132000,124975000,124374000,123860000,123465000,122559000,122146000,121781000,121574000,121574000,121649000,121750000,119000000,120000000,119750000,122240000,,
Russian Federation,RUS,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.865750728076799,0.859304978228043,0.850593711359774,0.861749893133102,0.854143759277569,0.848931944099596,0.848410102837545,0.848495160676424,0.849689351535999,0.847289850163905,0.84784131144932,0.848538554148861,0.849873478785613,0.851328210378611,0.852227807654841,0.852678561361011,0.83304486529731,0.839390538675241,0.836233229560805,0.851805666697125,,
Russian Federation,RUS,Arable land (% of land area),AG.LND.ARBL.ZS,7.83953439677975,7.78465269458884,7.69473121194581,7.78244849239711,7.69975520868307,7.62576951779021,7.59241917938337,7.56145744558754,7.5371132547949,7.48178680396411,7.4564608396317,7.4341066295351,7.42312431385527,7.42312431385527,7.42809828740168,7.4342655220442,7.26634576692616,7.32740749605999,7.31214206377653,7.46418576931978,,
Russian Federation,RUS,Land under cereal production (hectares),AG.LND.CREL.HA,53953916,50593560,48644750,48491600,36076300,37069300,41145200,43057500,43030600,36759400,40493400,41159500,40540700,40309250,44576100,41926700,32357000,40627900,37004100,40343946,,
Russian Federation,RUS,Permanent cropland (% of land area),AG.LND.CROP.ZS,0.120991396913437,0.116006589174265,0.119001389672462,0.117103668495267,0.111529609982114,0.112578873857355,0.113788005132669,0.11342796652593,0.112020433503816,0.110738185383292,0.110492313458757,0.109880785452272,0.109722098409182,0.10953892295274,0.109483680336963,0.103804939527517,0.100751853070825,0.100751853070825,0.0976987666141332,0.0976987666141332,,
Russian Federation,RUS,Land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.ZS,,,,,,,1.905153,,,,,,,,,,,,,,,
Russian Federation,RUS,Forest area (sq. km),AG.LND.FRST.K2,8090773,8091092,8091411,8091729,8092048,8092366,8092685,8091728,8090771,8089814,8088857,8087900,8088500,8089100,8089700,8090300,8090900,8091500,8092100,,,
Russian Federation,RUS,Forest area (% of land area),AG.LND.FRST.ZS,49.3902106849688,49.4010518744833,49.404264023114,49.404127934842,49.3980807384029,49.3782924744226,49.4018499097143,49.3987218902545,49.3913719237113,49.3854091757636,49.3788134346444,49.3724891477463,49.4609830171929,49.5384735622864,49.618599891188,49.6960945528663,49.7735892145447,49.7710844624156,49.7685797102865,49.7660749581575,,
Russian Federation,RUS,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,,,,,,,,2.06906728272949,2.05214838611407,2.09962224369674,2.09741642744699,2.07436943620178,2.05719111969112,2.01937223560426,1.97082053328631,,,,,,,
Russian Federation,RUS,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,,,,460,,,,,460,,,,,460,,,,,460,,460,
Russian Federation,RUS,Land area (sq. km),AG.LND.TOTL.K2,16381330,16378380,16377960,16378650,16381300,16388510,16381340,16380440,16380940,16380980,16381230,16381390,16377740,16377740,16376870,16376870,16376870,16376870,16376870,16376870,16376870,
Russian Federation,RUS,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,89.3538490289826,82.5180392156863,76.6622230686218,69.5471733638774,67.9215425110202,62.9552310462092,60.0607844083168,56.353948005813,52.3519215972138,47.8156642923,43.5522243872087,39.4423596455933,36.1590471646898,33.3674140852485,29.951417603104,27.1030800821355,,,,,,
Russian Federation,RUS,Cereal production (metric tons),AG.PRD.CREL.MT,78644219,61901960,67589430,86800870,46937060,53845280,64326238,83398430,84859330,65561638,76231392,76563560,76494549,80207513,106417890,95615930,59624036,91792153,68762551,90375448,,
Russian Federation,RUS,Crop production index (2004-2006 = 100),AG.PRD.CROP.XD,78.64,78.28,79.35,88.92,60.03,68.41,79.17,90.02,93.19,87.22,96.22,100.61,103.17,102.56,112.81,108.11,74.92,118.59,98.32,115.68,,
