Country Name,Country Code,AAAIndicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
China,CHN,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,89.01731,87.56221,86.95656,86.8546,,,,,,,,,,,,,,,,,,
China,CHN,"Adjusted net enrollment rate, primary, female (% of primary school age children)",SE.PRM.TENR.FE,87.24317,86.36777,86.27681,86.67052,,,,,,,,,,,,,,,,,,
China,CHN,"Adjusted net enrollment rate, primary, male (% of primary school age children)",SE.PRM.TENR.MA,90.67285,88.67174,87.58471,87.02392,,,,,,,,,,,,,,,,,,
China,CHN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,14.0711576746027,9.83320488531487,8.88663645311891,9.30277071995774,6.48547993903688,6.26613370436053,6.65339227716559,8.27806711927852,10.3797607754601,10.1391553675488,8.22418334924649,9.63162155629664,10.0506467835973,12.0053547820669,3.43988612164468,18.1420186368709,3.70110292752177,5.95516202377281,11.7954115707929,8.5400805342839,,
China,CHN,Adjusted net national income (constant 2005 US$),NY.ADJ.NNTY.KD,746485136632.92,819888549556.457,892749064276.289,975799462830.48,1039084741237.58,1104195180425.14,1177661617284.38,1275149236401.16,1407506676669.71,1550215965425.87,1677708568731.78,1839299108889.59,2024160565617.93,2267168222879.06,2345156227932.21,2770614907867.42,2873158217332.85,3044259444374.37,3403342375121.05,3693990554813.8,,
China,CHN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,488438758580.56,625940688218.589,732463021882.722,818784712231.57,871880862545.184,924019460285.56,1010642543508.74,1114841662173.74,1231139694413.29,1388326462814.8,1598654597472.31,1839299108889.59,2195621766011.8,2809900789003.61,3513687133907.88,4073500032727.09,4723334128061.41,5699617163901.43,6608088211022.51,7424846054305.37,,
China,CHN,Adjusted net national income per capita (annual % growth),NY.ADJ.NNTY.PC.KD.ZG,12.7891151460217,8.64631656463992,7.75131071719647,8.18981646654433,5.46858469727547,5.34999881229868,5.81631208640201,7.49440583230839,9.64268880214692,9.45527362046681,7.58330947450506,8.98874291149725,9.43786458231865,11.4219072425783,2.91122920415027,17.5558611371364,3.20147587344941,5.44869172997477,11.2520343635312,8.0055283540752,,
China,CHN,Adjusted net national income per capita (constant 2005 US$),NY.ADJ.NNTY.PC.KD,626.332618720645,680.487319682831,733.234006222569,793.284525602488,836.66596177544,881.427580793333,932.694159707897,1002.59404521065,1099.27106893916,1203.21015633799,1294.45330612178,1410.80838591844,1543.95857089742,1720.30808672916,1770.39019815138,2081.19744292431,2147.82647693838,2264.85492056153,2519.69717450724,2721.41224624925,,
China,CHN,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,409.820787760521,519.51536759078,601.587632444435,665.63804014517,702.034214789972,737.601695718217,800.417016270401,876.551214509368,961.527408945087,1077.55857095219,1233.45840130572,1410.80838591844,1674.74315114323,2132.12897104346,2652.53000510162,3059.88314283242,3530.92358035696,4240.37642482604,4892.36149613533,5469.98339028523,,
China,CHN,"Adjusted net savings, excluding particulate emission damage (% of GNI)",NY.ADJ.SVNX.GN.ZS,28.5955091207431,29.1259948802659,26.5858589807207,27.7056415870082,26.678625584778,24.5905938744454,21.4121725636752,22.3260938412327,25.0474681829659,27.6249384744299,27.9621115063748,28.4357737956319,30.5710891597272,29.8365594374975,28.5257564500662,33.0587344428412,29.8761676207156,26.5124433140771,28.9042338480736,29.3547175873036,,
China,CHN,"Adjusted net savings, excluding particulate emission damage (current US$)",NY.ADJ.SVNX.CD,160485146062.89,209782016944.756,225556554461.153,262415646629.844,269088621235.746,264343966031.513,254931185325.86,293157240401.074,362429350367.062,452966116165.227,541517047643.605,640512961169.229,832952123681.592,1053567701265.31,1308476448364.54,1669760312100.02,1796630228422.59,1967769450236.79,2440040503410.06,2773234105568.85,,
China,CHN,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,3.11776248700075,2.72417210437831,2.48505476393067,2.2949161773133,2.11181219172917,2.03158516940287,1.94793994430338,1.87192470871024,1.84846984016469,2.06189831369014,2.12084672849495,2.08351503093745,1.98753458549405,1.68454369389709,1.38405680277623,1.39927301182697,1.29038593650083,1.17790470118329,1.1478615085207,1.13274144134541,,
China,CHN,Adjusted savings: carbon dioxide damage (current US$),NY.ADJ.DCO2.CD,17497662517.67,19621040273.8321,21083403421.5689,21736436268.3935,21300371309.4379,21839134254.047,23191978182.8816,24579681772.6615,26746804046.231,33808946649.5773,41072529828.7061,46930967720.363,54153162330.2052,59483427738.3083,63486685543.3456,70675740627.0672,77598519638.8203,87424793664.6445,96900287612.4515,107013708736.513,,
China,CHN,Adjusted savings: consumption of fixed capital (% of GNI),NY.ADJ.DKAP.GN.ZS,10.779954037976,11.0743346753238,11.5180994340497,11.8063615009787,12.5820956877228,12.8920437718611,13.1355833633137,13.4777807234123,13.516989135874,13.7268222365689,14.103992801852,14.7191334944463,15.2304292171881,15.624482066465,16.2961658089013,16.4976325200053,16.8427257681143,17.5909856256464,17.8099532292705,18.1937149030432,,
China,CHN,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,60499797049.6309,79763670702.4471,97720477046.4323,111824661338.21,126906791735.078,138586892138.752,156390941965.277,176972695344.91,195586777699.356,225078704213.021,273139334999.947,331547010049.054,414974366623.194,551720773593.567,747505125654.304,833277271189.694,1012852472518.74,1305613507726.85,1503482412703.88,1718818466778.18,,
